journal_name,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,journalrank
ACTA-SCI-TECHNOL,0.015873015873015872,0.0,0.0,4.802656733507893e-15,0.0024426515359179768
PLOS-ONE,1.3333333333333333,0.23836944442972072,0.809042809042809,0.32416478051752273,0.1782710404257359
ADV-COMPLEX-SYST,0.12698412698412698,5.333674688513398e-05,0.452515469464622,0.05961714143787211,0.0025221138313782075
NATURE,0.873015873015873,0.04128528497857299,0.6845746845746845,0.2946336439079253,0.14994899559853883
P-NATL-ACAD-SCI-USA,0.9841269841269841,0.06503969393629504,0.6281979458450047,0.278626984697327,0.09054839594783205
SCI-REP-UK,1.3174603174603174,0.21843479767449434,0.7314633616003479,0.31344839845371136,0.09113987478112608
ADV-THEOR-SIMUL,0.12698412698412698,0.0,0.3512949039264829,0.015655910367792805,0.0024477488570141485
SCI-ADV,0.6190476190476191,0.035127513295716055,0.5620718462823726,0.24701271197174252,0.015379533290609424
SCI-DATA,0.4444444444444444,0.0012740471446534517,0.5339682539682539,0.22030215598978342,0.005741614799362124
SCIENCE,0.7777777777777777,0.016365683050421458,0.6137566137566137,0.2611618110916384,0.11578484892251352
AN-ACAD-BRAS-CIENC,0.2222222222222222,0.0013468714302273532,0.44497354497354497,0.0610369661595267,0.002659636287178554
NAT-COMMUN,0.9206349206349206,0.08004384258411762,0.6674603174603174,0.2685259420464384,0.06708537974013547
ANN-NY-ACAD-SCI,0.2222222222222222,0.0003003482266155077,0.45638312304978973,0.1070587422262847,0.003034959190213026
JOVE-J-VIS-EXP,0.5555555555555556,0.005631564520604007,0.5448655652737285,0.23312088381122664,0.007090028275434209
NAT-HUM-BEHAV,0.36507936507936506,0.0026527592472518824,0.4990357513721999,0.1558057481845332,0.004191162496370152
ARAB-J-SCI-ENG,0.38095238095238093,0.020522696425154176,0.47253827784801233,0.07324930211218374,0.008517788536155294
DISCRETE-DYN-NAT-SOC,0.20634920634920634,0.0017798218451060231,0.4767573696145125,0.07541298291370627,0.0030277459379845044
FRACTALS,0.23809523809523808,0.0007043498402945406,0.4683932052353105,0.06337083325298189,0.010140391561536942
FRONT-BIOENG-BIOTECH,0.36507936507936506,0.001461210889014269,0.49441504997060554,0.1429766747913637,0.003081145923093331
J-ADV-RES,0.20634920634920634,0.0005112841841760913,0.481052481052481,0.09268347620018484,0.0030652232831735846
J-KING-SAUD-UNIV-SCI,0.2698412698412698,0.00253398862017182,0.43412053168150727,0.0327138121756196,0.0054405728098620935
J-TAIBAH-UNIV-SCI,0.23809523809523808,0.002955160558847195,0.43412053168150727,0.033735999208922444,0.007814084639178789
NATL-ACAD-SCI-LETT,0.06349206349206349,8.533879501621436e-05,0.31409897292250233,0.004642747064281865,0.002509078929616449
PHILOS-T-R-SOC-A,0.36507936507936506,0.0009143627039172353,0.5286814395725286,0.18432107368818304,0.00397633854036494
SAINS-MALAYS,0.2857142857142857,0.005661738841462343,0.4683932052353105,0.057145328244037244,0.012370564594809032
CHIANG-MAI-J-SCI,0.15873015873015872,0.000870982149783993,0.4643202208419599,0.05012386318628065,0.0031691343965498868
COMPLEXITY,0.3492063492063492,0.00791740190741727,0.48987913208096695,0.10308376970400955,0.0070799147764513395
INT-J-BIFURCAT-CHAOS,0.2698412698412698,0.004129179712290716,0.47253827784801233,0.06351220314846766,0.015008736035992957
J-R-SOC-INTERFACE,0.5396825396825397,0.004389205156124827,0.5339682539682539,0.22262668307702063,0.006412586683116001
SYMMETRY-BASEL,0.5079365079365079,0.06683556419640582,0.4643202208419599,0.05899438328725223,0.008977136083525369
CR-ACAD-BULG-SCI,0.031746031746031744,0.0,0.0,4.802656733507893e-15,0.0024426515359179768
CURR-SCI-INDIA,0.31746031746031744,0.03402784242838006,0.481052481052481,0.06435575098816593,0.005598848436591848
P-JPN-ACAD-B-PHYS,0.19047619047619047,5.333674688513398e-05,0.47253827784801233,0.06567410483336568,0.002560925220071519
SCI-AM,0.23809523809523808,0.00012597631645250691,0.49441504997060554,0.12242026759482923,0.0043571233229515735
SCIENCEASIA,0.1111111111111111,0.00034135518006485745,0.31783824640967495,0.004355085106099659,0.004544255137332268
